,Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Adj Close,Volume
212,212,212,2019-08-19,1818.0799559999998,1826.0,1812.609985,1816.119995,1816.119995,2816300
213,213,213,2019-08-20,1814.5,1816.819946,1799.880005,1801.380005,1801.380005,1929500
214,214,214,2019-08-21,1819.390015,1829.5799559999998,1815.0,1823.540039,1823.540039,2031800
215,215,215,2019-08-22,1828.0,1829.410034,1800.0999760000002,1804.660034,1804.660034,2653500
216,216,216,2019-08-23,1793.030029,1804.9000239999998,1745.22998,1749.619995,1749.619995,5270800
217,217,217,2019-08-26,1766.910034,1770.0,1743.5100100000002,1768.869995,1768.869995,3080000
218,218,218,2019-08-27,1775.72998,1779.4000239999998,1746.680054,1761.8299559999994,1761.8299559999994,3019700
219,219,219,2019-08-28,1755.0,1767.859985,1744.050049,1764.25,1764.25,2419700
220,220,220,2019-08-29,1783.0,1798.550049,1777.25,1786.4000239999998,1786.4000239999998,3015100
221,221,221,2019-08-30,1797.4899899999998,1799.7399899999998,1764.569946,1776.290039,1776.290039,3058700
222,222,222,2019-09-03,1770.0,1800.800049,1768.0,1789.839966,1789.839966,3543000
223,223,223,2019-09-04,1805.0,1807.630005,1796.22998,1800.619995,1800.619995,2324100
224,224,224,2019-09-05,1821.949951,1842.0,1815.5799559999998,1840.719971,1840.719971,3310800
225,225,225,2019-09-06,1838.219971,1840.6500239999998,1826.4000239999998,1833.5100100000002,1833.5100100000002,2496900
226,226,226,2019-09-09,1841.0,1850.0,1824.609985,1831.3499760000002,1831.3499760000002,2999500
227,227,227,2019-09-10,1822.75,1825.810059,1805.339966,1820.550049,1820.550049,2613900
228,228,228,2019-09-11,1812.140015,1833.4200440000002,1809.0799559999998,1822.9899899999998,1822.9899899999998,2432800
229,229,229,2019-09-12,1837.630005,1853.660034,1834.280029,1843.550049,1843.550049,2823500
230,230,230,2019-09-13,1842.0100100000002,1846.119995,1835.1700440000002,1839.339966,1839.339966,1971300
231,231,231,2019-09-16,1824.02002,1825.689941,1800.199951,1807.839966,1807.839966,3675500
232,232,232,2019-09-17,1807.0799559999998,1823.9899899999998,1804.0999760000002,1822.550049,1822.550049,1982400
233,233,233,2019-09-18,1817.040039,1822.060059,1795.5,1817.459961,1817.459961,2505600
234,234,234,2019-09-19,1821.02002,1832.569946,1817.9000239999998,1821.5,1821.5,2031500
235,235,235,2019-09-20,1821.709961,1830.630005,1780.9200440000006,1794.160034,1794.160034,5341900
236,236,236,2019-09-23,1777.0,1792.699951,1767.319946,1785.300049,1785.300049,2922300
237,237,237,2019-09-24,1790.609985,1795.709961,1735.550049,1741.609985,1741.609985,4616000
238,238,238,2019-09-25,1747.359985,1773.0,1723.0,1768.3299559999994,1768.3299559999994,3493200
239,239,239,2019-09-26,1762.790039,1763.369995,1731.5,1739.839966,1739.839966,3536800
240,240,240,2019-09-27,1748.0,1749.119995,1713.819946,1725.449951,1725.449951,3907200
241,241,241,2019-09-30,1726.9899899999998,1737.459961,1709.219971,1735.910034,1735.910034,2644700
242,242,242,2019-10-01,1746.0,1755.5999760000002,1728.410034,1735.6500239999998,1735.6500239999998,3084500
243,243,243,2019-10-02,1727.7399899999998,1728.890015,1705.0,1713.22998,1713.22998,3301100
244,244,244,2019-10-03,1713.0,1725.0,1685.060059,1724.4200440000006,1724.4200440000006,3468200
245,245,245,2019-10-04,1726.02002,1740.5799559999994,1719.22998,1739.6500239999998,1739.6500239999998,2471900
246,246,246,2019-10-07,1731.630005,1747.8299559999994,1723.699951,1732.660034,1732.660034,2154700
247,247,247,2019-10-08,1722.4899899999998,1727.0,1705.0,1705.5100100000002,1705.5100100000002,2542000
248,248,248,2019-10-09,1719.609985,1729.949951,1714.359985,1721.9899899999998,1721.9899899999998,2043500
249,249,249,2019-10-10,1725.2399899999998,1738.290039,1713.75,1720.2600100000002,1720.2600100000002,2575200
250,250,250,2019-10-11,1742.9200440000006,1745.449951,1729.859985,1731.9200440000006,1731.9200440000006,3255000
